badge,prize,prize+expenses,address,location,Bathrooms,href,description,published-date,Area,Environments,Bedrooms,expenses,Garage
$,20000,23300,"Nuestra Señora de La Merced 4800. Entre Ferreyra, andres y 3 de febrero","Caseros, Tres de Febrero",1,/propiedades/1-ambiente-alquiler-caseros-la-merced-4800-sum-47551732.html,1 Ambiente Alquiler Caseros La Merced 4800 Sum,Publicado hace 116 días,32,1,,3300.0,
$,18500,19600,Alem 8098,"Martín Coronado, Tres de Febrero",1,/propiedades/amplio-departamento-monoambiente-a-estrenar-wifi-47504353.html,Amplio Departamento Monoambiente a Estrenar Wifi,Publicado hace 16 días,45,1,,1100.0,
$,20000,22300,HORNOS GENERAL 2720. Entre Belgrano y Moreno,"Caseros, Tres de Febrero",,/propiedades/departamento-monoambiente.-hornos-general-2720-47465296.html,Departamento Monoambiente. | Hornos General 2720,Publicado hace 31 días,28,1,,2300.0,
$,16000,16000,Guemes 5100,"Villa Bosch, Tres de Febrero",1,/propiedades/departamento-monoambiente-planta-baja-frente.-47409560.html,Departamento Monoambiente Planta Baja Frente.,Publicado hace 143 días,20,1,,,
$,25000,25000,Guemes 5030,"Villa Bosch, Tres de Febrero",1,/propiedades/departamento-dos-ambientes-planta-baja-al-frente-47362895.html,Departamento Dos Ambientes Planta Baja Al Frente Independiente,Publicado hace 156 días,40,2,1,,
$,20000,20000,Marco Polo 5288,"Villa Bosch, Tres de Febrero",1,/propiedades/depto.-2-amb-con-balcon-47297817.html,Depto. 2 Amb con Balcón,Publicado hace 12 días,38,2,1,,
$,22000,22000,FERNANDEZ D´OLIVEIRA 3200,"Caseros, Tres de Febrero",1,/propiedades/departamento-en-alquiler-en-caseros-46805698.html,Departamento en Alquiler en Caseros,Publicado hace 10 días,50,2,1,,
$,30000,33700,Wenceslao De Tata 4500 5°,"Caseros, Tres de Febrero",1,/propiedades/departamento-2-amb.-46548716.html,Departamento 2 Amb.,Publicado hoy,40,2,1,3700.0,
$,29500,33500,Luis María Campos 5328,"Villa Bosch, Tres de Febrero",1,/propiedades/departamento-2-amb.-52-m-sup2--cub.-edificio-frente-46478071.html,Departamento 2 Amb. 52 m² Cub. Edificio Frente Estación de Villa Bosch!,Publicado hace 24 días,52,2,1,4000.0,
USD,300,300,Olavarria al 2600,"Caseros, Tres de Febrero",1,/propiedades/departamento-caseros-46422189.html,Departamento - Caseros,Publicado hace 344 días,35,1,,,
$,22000,23700,Lisandro Medina 2245,"Caseros, Tres de Febrero",1,/propiedades/apto-profesional-monoambiente-46217712.html,Apto Profesional Monoambiente,Publicado hace 53 días,31,1,,1700.0,
$,21000,21000,Martín Coronado,"Martín Coronado, Tres de Febrero",1,/propiedades/alquilo-en-martin-coronado-panama-y-betharram-45584267.html,Alquilo en Martin Coronado Panama y Betharram Departamento de 1 Dormitorio Patio F: 6296,Publicado hace 9 días,38,2,1,,
$,43000,47200,Juan Xxiii 1500 2°,"Martín Coronado, Tres de Febrero",2,/propiedades/hermoso-duplex-3-amb.-c.-cochera.-en-2-c.-ascensor-45561998.html,Hermoso Duplex 3 Amb. C. Cochera. en 2º C. Ascensor,Publicado desde ayer,85,3,2,4200.0,1
$,38000,38000,CAVASSA 3000,"Caseros, Tres de Febrero",1,/propiedades/departamento-en-alquiler-en-caseros-45486381.html,Departamento en Alquiler en Caseros,Publicado hace 160 días,90,3,2,,
$,20000,20000,Pasaje Quintas 2700,"Caseros, Tres de Febrero",1,/propiedades/departamento-tipo-casa-en-alquiler-en-caseros-45425268.html,Departamento Tipo Casa en Alquiler en Caseros,Publicado hace 71 días,35,2,1,,
$,30000,30000,CHICLANA,"Caseros, Tres de Febrero",1,/propiedades/alquiler-de-depto.-de-2-amb.-en-caseros-45356051.html,Alquiler de Depto. de 2 Amb. en Caseros,Publicado hace 3 días,40,2,1,,
$,27000,27000,Avenida Mitre 5600,"Caseros, Tres de Febrero",1,/propiedades/departamento-tipo-casa-en-alquiler-en-caseros-45255488.html,Departamento Tipo Casa en Alquiler en Caseros,Publicado hace 9 días,56,2,1,,
$,18000,19500,Ciudad Jardín Lomas del Palomar,"Ciudad Jardín Lomas del Palomar, Tres de Febrero",1,/propiedades/en-alquiler-en-ciudad-jardin-a-1-cuadra-de-la-estacion-44863910.html,En Alquiler en Ciudad Jardin a 1 Cuadra de La Estacion de Martin Coronado; Mono Ambiente por Escaler,Publicado hace 22 días,30,1,1,1500.0,
$,28000,30500,NUESTRA SEÑORA DE LA MERCED 4346,"Caseros, Tres de Febrero",1,/propiedades/departamento-con-cochera-estrenar-44695781.html,Departamento con Cochera Estrenar,Publicado desde ayer,39,1,,2500.0,1
$,27000,27000,Alberdi 4500. Entre Rauch y Perdiguero,"Caseros, Tres de Febrero",1,/propiedades/departamento-2-ambientes.-alberdi-al-4500-44600621.html,Departamento 2 Ambientes. | Alberdi Al 4500,Publicado hace 59 días,36,2,1,,
$,22000,24800,LISANDRO MEDINA 2089,"Caseros, Tres de Febrero",1,/propiedades/monoambiente-apto-profesional-44582033.html,Monoambiente Apto Profesional,Publicado hace 75 días,35,1,,2800.0,
$,18500,20513,Gral. Manuel Belgrano 4800. Entre Andres ferreyra y 3 de febrero,"Caseros, Tres de Febrero",1,/propiedades/departamento-monoambiente.-gral.-manuel-belgrano-al-44481303.html,Departamento Monoambiente. | Gral. Manuel Belgrano Al 4800,Publicado hace 17 días,32,1,,2013.0,
$,22000,25000,Jose Maria Bosch 1277,"Caseros, Tres de Febrero",1,/propiedades/monoambiente-en-edificio-contrafrente-44470439.html,Monoambiente en Edificio Contrafrente,Publicado hace más de 1 año,32,1,,3000.0,
$,26000,26000,Alberdi 4500. Entre Rauch y Perdiguero,"Caseros, Tres de Febrero",1,/propiedades/departamento-2-ambientes.-alberdi-al-4500-44400111.html,Departamento 2 Ambientes. | Alberdi Al 4500,Publicado hace 15 días,36,2,1,,
$,26000,26000,Constitucion 2600. Entre Belgrano y Urquiza,"Caseros, Tres de Febrero",1,/propiedades/departamento-2-ambientes.-constitucion-al-2600-44360821.html,Departamento 2 Ambientes. | Constitucion Al 2600,Publicado hace 19 días,38,2,1,,
$,17000,17000,Gral. Manuel Belgrano 4800. Entre Andres ferreyra y 3 de febrero,"Caseros, Tres de Febrero",1,/propiedades/departamento-monoambiente.-gral.-manuel-belgrano-al-44278655.html,Departamento Monoambiente. | Gral. Manuel Belgrano Al 4800,Publicado hace 33 días,29,1,,,
$,22000,25000,Jose Murias 2274,"Caseros, Tres de Febrero",1,/propiedades/departamento-monoambiente-contrafrente-44068911.html,Departamento Monoambiente Contrafrente,Publicado hace 31 días,32,1,1,3000.0,
$,22000,25500,Av. Urquiza 4600. Entre Av. san martin y David magdalena,"Caseros, Tres de Febrero",1,/propiedades/departamento-2-ambientes.-av-urquiza-al-4600-44053583.html,Departamento 2 Ambientes. | Av Urquiza Al 4600,Publicado hace 24 días,43,2,1,3500.0,
$,25000,25000,Padre. Carranza 1410,"Caseros, Tres de Febrero",1,/propiedades/departamento-tipo-casa-dos-ambientes-planta-baja-al-43939484.html,Departamento Tipo Casa Dos Ambientes Planta Baja Al Frente.,Publicado hace 31 días,31,2,1,,
$,25000,25000,Guemes 5030,"Villa Bosch, Tres de Febrero",1,/propiedades/departamento-dos-ambientes-planta-baja-al-frente-43218380.html,Departamento Dos Ambientes Planta Baja Al Frente Independiente,Publicado hace 66 días,40,2,1,,
$,65000,65000,"DE LA TORRE, LISANDRO 2100. Entre Amadeo sabattini y Wenceslao de tata","Caseros, Tres de Febrero",2,/propiedades/ph-4-ambientes-lisandro-de-la-torre-2100-42169563.html,PH 4 Ambientes Lisandro de La Torre 2100,Publicado hace 9 días,210,4,3,,1
