badge,prize,prize+expenses,address,location,Area,Environments,Bedrooms,Bathrooms,href,description,published-date,expenses,Garage
$,20000,22300,HORNOS GENERAL 2720. Entre Belgrano y Moreno,"Caseros, Tres de Febrero",28,1,,,/propiedades/departamento-monoambiente.-hornos-general-2720-47465296.html,Departamento Monoambiente. | Hornos General 2720,Publicado hace 37 días,2300.0,
$,16000,16000,Guemes 5100,"Villa Bosch, Tres de Febrero",20,1,,1,/propiedades/departamento-monoambiente-planta-baja-frente.-47409560.html,Departamento Monoambiente Planta Baja Frente.,Publicado hace 149 días,,
$,25000,25000,Guemes 5030,"Villa Bosch, Tres de Febrero",40,2,1,1,/propiedades/departamento-dos-ambientes-planta-baja-al-frente-47362895.html,Departamento Dos Ambientes Planta Baja Al Frente Independiente,Publicado hace 162 días,,
$,20000,20000,Marco Polo 5288,"Villa Bosch, Tres de Febrero",38,2,1,1,/propiedades/depto.-2-amb-con-balcon-47297817.html,Depto. 2 Amb con Balcón,Publicado hace 18 días,,
$,22000,26000,Caseros,"Caseros, Tres de Febrero",30,2,1,1,/propiedades/departamento-en-alquiler-en-caseros-dueno-alquila-46795250.html,Departamento en Alquiler en Caseros - Dueño Alquila,Publicado desde ayer,4000.0,
USD,300,300,Olavarria al 2600,"Caseros, Tres de Febrero",35,1,,1,/propiedades/departamento-caseros-46422189.html,Departamento - Caseros,Publicado hace 350 días,,
$,22000,23700,Lisandro Medina 2245,"Caseros, Tres de Febrero",31,1,,1,/propiedades/apto-profesional-monoambiente-46217712.html,Apto Profesional Monoambiente,Publicado hace 59 días,1700.0,
$,24000,24000,FERNANDEZ DE OLIVERA 3705,"Caseros, Tres de Febrero",65,2,,1,/propiedades/departamento-tipo-casa-2-ambientes-patio-terraza-sin-46205752.html,Departamento Tipo Casa 2 Ambientes Patio Terraza Sin Expensas,Publicado hace 5 días,,
$,17000,18500,Caseros,"Caseros, Tres de Febrero",24,1,1,1,/propiedades/alquilo-en-caseros-departamento-en-2do-piso-de-2-45671394.html,Alquilo en Caseros Departamento en 2do Piso de 2 Ambientes con Baño Instalado a 6 Cuadras de La Esta,Publicado hace 9 días,1500.0,
$,17000,19500,Martín Coronado,"Martín Coronado, Tres de Febrero",38,2,1,1,/propiedades/alquilo-en-martin-coronado-panama-y-betharram-45584267.html,Alquilo en Martin Coronado Panama y Betharram Departamento de 1 Dormitorio Patio F: 6296,Publicado hace 2 días,2500.0,
$,43000,47200,Juan Xxiii 1500 2°,"Martín Coronado, Tres de Febrero",85,3,2,2,/propiedades/hermoso-duplex-3-amb.-c.-cochera.-en-2-c.-ascensor-45561998.html,Hermoso Duplex 3 Amb. C. Cochera. en 2º C. Ascensor,Publicado hace 7 días,4200.0,1
$,38000,38000,CAVASSA 3000,"Caseros, Tres de Febrero",90,3,2,1,/propiedades/departamento-en-alquiler-en-caseros-45486381.html,Departamento en Alquiler en Caseros,Publicado hace 166 días,,
$,20000,20000,Pasaje Quintas 2700,"Caseros, Tres de Febrero",35,2,1,1,/propiedades/departamento-tipo-casa-en-alquiler-en-caseros-45425268.html,Departamento Tipo Casa en Alquiler en Caseros,Publicado hace 77 días,,
$,30000,30000,CHICLANA,"Caseros, Tres de Febrero",40,2,1,1,/propiedades/alquiler-de-depto.-de-2-amb.-en-caseros-45356051.html,Alquiler de Depto. de 2 Amb. en Caseros,Publicado hace 9 días,,
