badge,prize,expenses,prize+expenses,address,location,Area,Environments,Bedrooms,Bathrooms,href,description,published-date,Garage
$,20000,3300.0,23300,"Nuestra Señora de La Merced 4800. Entre Ferreyra, andres y 3 de febrero","Caseros, Tres de Febrero",32,1,,1,/propiedades/1-ambiente-alquiler-caseros-la-merced-4800-sum-47551732.html,1 Ambiente Alquiler Caseros La Merced 4800 Sum,Publicado hace 119 días,
$,18500,1100.0,19600,Alem 8098,"Martín Coronado, Tres de Febrero",45,1,,1,/propiedades/amplio-departamento-monoambiente-a-estrenar-wifi-47504353.html,Amplio Departamento Monoambiente a Estrenar Wifi,Publicado hace 19 días,
$,20000,2300.0,22300,HORNOS GENERAL 2720. Entre Belgrano y Moreno,"Caseros, Tres de Febrero",28,1,,,/propiedades/departamento-monoambiente.-hornos-general-2720-47465296.html,Departamento Monoambiente. | Hornos General 2720,Publicado hace 34 días,
$,16000,,16000,Guemes 5100,"Villa Bosch, Tres de Febrero",20,1,,1,/propiedades/departamento-monoambiente-planta-baja-frente.-47409560.html,Departamento Monoambiente Planta Baja Frente.,Publicado hace 146 días,
$,25000,,25000,Guemes 5030,"Villa Bosch, Tres de Febrero",40,2,1,1,/propiedades/departamento-dos-ambientes-planta-baja-al-frente-47362895.html,Departamento Dos Ambientes Planta Baja Al Frente Independiente,Publicado hace 159 días,
$,20000,,20000,Marco Polo 5288,"Villa Bosch, Tres de Febrero",38,2,1,1,/propiedades/depto.-2-amb-con-balcon-47297817.html,Depto. 2 Amb con Balcón,Publicado hace 15 días,
$,22000,,22000,FERNANDEZ D´OLIVEIRA 3200,"Caseros, Tres de Febrero",50,2,1,1,/propiedades/departamento-en-alquiler-en-caseros-46805698.html,Departamento en Alquiler en Caseros,Publicado hace 13 días,
$,30000,3700.0,33700,Wenceslao De Tata 4500 5°,"Caseros, Tres de Febrero",40,2,1,1,/propiedades/departamento-2-amb.-46548716.html,Departamento 2 Amb.,Publicado hace 3 días,
USD,300,,300,Olavarria al 2600,"Caseros, Tres de Febrero",35,1,,1,/propiedades/departamento-caseros-46422189.html,Departamento - Caseros,Publicado hace 347 días,
$,22000,1700.0,23700,Lisandro Medina 2245,"Caseros, Tres de Febrero",31,1,,1,/propiedades/apto-profesional-monoambiente-46217712.html,Apto Profesional Monoambiente,Publicado hace 56 días,
$,24000,,24000,FERNANDEZ DE OLIVERA 3705,"Caseros, Tres de Febrero",65,2,,1,/propiedades/departamento-tipo-casa-2-ambientes-patio-terraza-sin-46205752.html,Departamento Tipo Casa 2 Ambientes Patio Terraza Sin Expensas,Publicado hace 2 días,
$,21000,,21000,Martín Coronado,"Martín Coronado, Tres de Febrero",38,2,1,1,/propiedades/alquilo-en-martin-coronado-panama-y-betharram-45584267.html,Alquilo en Martin Coronado Panama y Betharram Departamento de 1 Dormitorio Patio F: 6296,Publicado hace 12 días,
$,43000,4200.0,47200,Juan Xxiii 1500 2°,"Martín Coronado, Tres de Febrero",85,3,2,2,/propiedades/hermoso-duplex-3-amb.-c.-cochera.-en-2-c.-ascensor-45561998.html,Hermoso Duplex 3 Amb. C. Cochera. en 2º C. Ascensor,Publicado hace 4 días,1
$,38000,,38000,CAVASSA 3000,"Caseros, Tres de Febrero",90,3,2,1,/propiedades/departamento-en-alquiler-en-caseros-45486381.html,Departamento en Alquiler en Caseros,Publicado hace 163 días,
